13.125,-39.56,27.54,,,,,,,,,,2.1,3.005,9.821
13.333,-41.05,27.84,,,,,,,,,,2.133,2.861,9.648
13.542,-42.52,28.17,,,,,,,,,,2.167,2.675,9.469
13.75,-43.97,28.49,,,,,,,,,,2.2,2.653,9.293
13.958,-45.42,28.81,,,,,,,,,,2.233,2.455,9.029
14.167,-46.89,29.12,,,,,,,,,,2.267,2.33,8.815
14.375,-48.11,29.4,,,,,,,,,,2.3,2.2,8.595
14.583,-49.58,29.7,,,,,,,,,,2.333,2.103,8.391
14.792,-51.03,30.02,,,,,,,,,,2.367,2.059,8.105
15,-52.48,30.34,,,,,,,,,,2.4,1.817,7.885
15.208,-53.72,30.61,,,,,,,,,,2.433,1.795,7.731
15.417,-55.13,30.91,,,,,,,,,,2.467,1.861,8.127
15.625,-56.53,31.25,,,,,,,,,,2.5,1.839,8.545
15.833,-57.95,31.57,,,,,,,,,,2.533,1.884,8.884
16.042,-59.15,31.83,,,,,,,,,,2.567,1.905,9.161
16.25,-60.54,32.13,,,,,,,,,,2.6,1.817,9.403
16.458,-61.73,32.41,,,,,,,,,,2.633,1.859,9.705
16.667,-63.1,32.72,,,,,,,,,,2.667,1.839,9.975
16.875,-64.51,33.02,,,,,,,,,,2.7,1.888,10.25
17.083,-65.71,33.29,,,,,,,,,,2.733,1.932,10.5
17.292,-67.1,33.59,,,,,,,,,,2.767,2.015,10.75
17.5,-68.3,33.84,,,,,,,,,,2.8,2.074,10.96
17.708,-69.66,34.17,,,,,,,,,,2.833,2.168,11.12
17.917,-70.86,34.42,,,,,,,,,,2.867,2.147,11.45
18.125,-71.96,34.66,,,,,,,,,,2.9,2.184,11.63
18.333,-73.3,34.98,,,,,,,,,,2.933,2.222,11.79
18.542,-74.5,35.22,,,,,,,,,,2.967,2.261,11.92
,,,,,,,,,,,,3,2.299,12.05
,,,,,,,,,,,,3.033,2.33,12.16
,,,,,,,,,,,,3.067,2.366,12.26
,,,,,,,,,,,,3.1,2.406,12.34
,,,,,,,,,,,,3.133,2.442,12.4
,,,,,,,,,,,,3.167,2.474,12.45
,,,,,,,,,,,,3.2,2.506,12.49
,,,,,,,,,,,,3.233,2.538,12.51
